index,orders,orders_roll_7,orders_roll_30,orders_roll_90,orders_roll_365,orders_yoy_roll_7,orders_yoy_roll_30,orders_yoy_roll_90,orders_yoy_roll_365,adj_sales,adj_sales_roll_7,adj_sales_roll_30,adj_sales_roll_90,adj_sales_roll_365
2003-01-06,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12133.25,0.0,0.0,0.0,0.0
2003-01-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-09,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11432.34,0.0,0.0,0.0,0.0
2003-01-10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6864.05,0.0,0.0,0.0,0.0
2003-01-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-12,0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4347.091428571429,0.0,0.0,0.0
2003-01-13,0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2613.77,0.0,0.0,0.0
2003-01-14,0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2613.77,0.0,0.0,0.0
2003-01-15,0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2613.77,0.0,0.0,0.0
2003-01-16,0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.5785714285714,0.0,0.0,0.0
2003-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-29,1,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54702.0,7814.571428571428,0.0,0.0,0.0
2003-01-30,0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7814.571428571428,0.0,0.0,0.0
2003-01-31,1,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44621.96,14189.137142857142,0.0,0.0,0.0
2003-02-01,0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14189.137142857142,0.0,0.0,0.0
2003-02-02,0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14189.137142857142,0.0,0.0,0.0
2003-02-03,0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14189.137142857142,0.0,0.0,0.0
2003-02-04,0,0.2857142857142857,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14189.137142857142,4325.12,0.0,0.0
2003-02-05,0,0.14285714285714285,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6374.565714285714,3920.6783333333337,0.0,0.0
2003-02-06,0,0.14285714285714285,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6374.565714285714,3920.6783333333337,0.0,0.0
2003-02-07,0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3920.6783333333337,0.0,0.0
2003-02-08,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3539.6003333333338,0.0,0.0
2003-02-09,0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310.7986666666666,0.0,0.0
2003-02-10,0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310.7986666666666,0.0,0.0
2003-02-11,1,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.0,0.0,58871.11,8410.158571428572,5273.169,0.0,0.0
2003-02-12,0,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8410.158571428572,5273.169,0.0,0.0
2003-02-13,0,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8410.158571428572,5273.169,0.0,0.0
2003-02-14,0,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8410.158571428572,5273.169,0.0,0.0
2003-02-15,0,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8410.158571428572,5273.169,0.0,0.0
2003-02-16,0,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8410.158571428572,5273.169,0.0,0.0
2003-02-17,1,0.2857142857142857,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,56181.32,16436.06142857143,7145.879666666667,0.0,0.0
2003-02-18,0,0.14285714285714285,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8025.902857142857,7145.879666666667,0.0,0.0
2003-02-19,0,0.14285714285714285,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8025.902857142857,7145.879666666667,0.0,0.0
2003-02-20,0,0.14285714285714285,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8025.902857142857,7145.879666666667,0.0,0.0
2003-02-21,0,0.14285714285714285,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8025.902857142857,7145.879666666667,0.0,0.0
2003-02-22,0,0.14285714285714285,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8025.902857142857,7145.879666666667,0.0,0.0
2003-02-23,0,0.14285714285714285,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8025.902857142857,7145.879666666667,0.0,0.0
2003-02-24,1,0.14285714285714285,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,25783.76,3683.3942857142856,8005.338333333333,0.0,0.0
2003-02-25,0,0.14285714285714285,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3683.3942857142856,8005.338333333333,0.0,0.0
2003-02-26,0,0.14285714285714285,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3683.3942857142856,8005.338333333333,0.0,0.0
2003-02-27,0,0.14285714285714285,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3683.3942857142856,8005.338333333333,0.0,0.0
2003-02-28,0,0.14285714285714285,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3683.3942857142856,6181.9383333333335,0.0,0.0
